Source_Document,Topic_Label,Unstructured_Text_Content,보고서_긍정값
SK하이닉스_사업보고서_2020.txt,재무실적_전사,"2020년 SK하이닉스는 코로나19 상황 속에서도 탄력적인 대응을 통해 연결 기준 매출액 31조 9,004억 원, 영업이익 5조 126억 원을 기록하며 성공적인 실적 개선을 이루어냈습니다.",1.0
SK하이닉스_사업보고서_2020.txt,시장점유율_메모리,"2020년 3분기 기준 글로벌 메모리 시장에서 DRAM 27.7%, 낸드플래시 11.7%의 점유율을 차지하며 확고한 시장 지위를 유지했습니다.",1.0
SK하이닉스_사업보고서_2020.txt,성장동력_R&D,"매출액 대비 10.9%인 3조 4,820억 원을 R&D에 투자하여 세계 최초 16Gb DDR5 서버 제품 및 176단 512Gb TLC 4D NAND를 성공적으로 개발했습니다.",1.0
SK하이닉스_사업보고서_2020.txt,거시경제_리스크,"원/달러(USD) 환율이 10% 상승할 경우 세전 이익이 약 492억 원 증가할 것으로 추정되며, 시장 이자율 100bp 변동 시 약 503억 원의 이익 변동이 예상됩니다.",0.5
SK하이닉스_사업보고서_2021.txt,재무실적_전사,"2021년 IT 수요 급증 및 메모리 호황에 힘입어 연결 기준 매출액 42조 9,978억 원, 영업이익 12조 4,103억 원을 달성하며 당시 사상 최대의 실적을 기록했습니다.",1.0
SK하이닉스_사업보고서_2021.txt,시장점유율_메모리,"2021년 3분기 기준 DRAM 27.4%, 낸드플래시 14.4%의 글로벌 시장 점유율을 기록하며 지속적인 외형 성장을 보였습니다.",1.0
SK하이닉스_사업보고서_2021.txt,성장동력_R&D,"4조 448억 원(매출 대비 9.4%)의 R&D 비용을 집행했으며, EUV를 적용한 1a 나노급 LPDDR4 양산 및 업계 최초 HBM3 DRAM 개발 등 미래 기술 리더십을 확보했습니다.",0.9
SK하이닉스_사업보고서_2021.txt,거시경제_리스크,"원/달러(USD) 환율이 10% 하락할 경우 세전 이익이 약 2,811억 원 증가할 것으로 추정되며, 시장 이자율 100bp 변동 시 약 783억 원의 이익 변동이 예상됩니다.",0.5
SK하이닉스_사업보고서_2022.txt,재무실적_전사,"2022년 하반기 글로벌 경기 침체와 수요 둔화에도 불구하고 연간 매출액 44조 6,216억 원을 달성했으나, 영업이익은 6조 8,094억 원으로 전년 대비 크게 감소했습니다.",0.0
SK하이닉스_사업보고서_2022.txt,시장점유율_메모리,"솔리다임(Solidigm) 인수를 포함해 2022년 3분기 글로벌 시장 점유율은 DRAM 29.6%, 낸드플래시 19.2%를 기록하며 낸드 부문의 시장 지배력을 크게 강화했습니다.",1.0
SK하이닉스_사업보고서_2022.txt,성장동력_R&D,"역대 최고 수준인 4조 9,053억 원(매출액의 11.0%)을 R&D에 투자하여 238단 4D 낸드 개발 및 현존 최고 사양의 HBM3 양산 성과를 거두었습니다.",1.0
SK하이닉스_사업보고서_2022.txt,거시경제_리스크,"원/달러 환율 10% 상승 시 외화 부채 평가손실 등으로 약 5,812억 원의 세전 이익 감소가 예상되며, 시장 이자율 100bp 상승 시 연간 약 986억 원의 이자비용 증가가 추정됩니다.",0.3
SK하이닉스_사업보고서_2023.txt,재무실적_전사,"2023년 글로벌 메모리 반도체 다운사이클의 여파로 연결 기준 매출액은 32조 7,657억 원으로 급감하였고, 7조 7,303억 원의 대규모 영업손실을 기록하며 적자 전환했습니다.",0.0
SK하이닉스_사업보고서_2023.txt,시장점유율_메모리,전례 없는 업황 침체 속에서도 다가올 AI 시대에 대비하여 HBM3 등 고부가가치 프리미엄 제품의 판매 비중을 적극적으로 확대하며 리더십을 방어했습니다.,0.3
SK하이닉스_사업보고서_2023.txt,성장동력_R&D,대규모 적자 상황에서도 미래 AI 메모리 시장 선점을 위해 차세대 HBM 및 고용량 DDR5 개발 등 초격차를 위한 핵심 R&D 투자를 늦추지 않고 지속 집행했습니다.,1.0
SK하이닉스_사업보고서_2023.txt,거시경제_리스크,"대규모 외화 부채 및 자산 포지션에 따른 환율 민감도가 높으며, 글로벌 고금리 기조 유지에 따른 차입금 이자 부담 증가 위험을 통화이자율스왑 등으로 적극 방어하고 있습니다.",0.5
SK하이닉스_사업보고서_2024.txt,재무실적_전사,"2024년 HBM 등 AI 메모리 수요의 폭발적인 증가에 힘입어 연결 기준 매출액 66조 1,930억 원, 영업이익 23조 4,673억 원을 달성하며 역대 최고 실적 경신과 흑자 전환에 성공했습니다.",1.0
SK하이닉스_사업보고서_2024.txt,시장점유율_메모리,"'토털 AI 메모리 프로바이더'로서 HBM3E 12단, 고용량 eSSD 등 고부가가치 프리미엄 제품군에서 독보적인 글로벌 시장 점유율과 확고한 리더십을 다졌습니다.",0.5
SK하이닉스_사업보고서_2024.txt,성장동력_R&D,AI 생태계 확장에 발맞추어 차세대 HBM4 및 10나노급 6세대(1c) D램 개발 등 초격차 기술 경쟁력 유지를 위한 대대적인 R&D 투자를 전개했습니다.,0.5
SK하이닉스_사업보고서_2024.txt,거시경제_리스크,"달러화 기반 매출 창출 구조로 환율 변동에 매우 민감하며, 시장 이자율 변동에 따른 차입금 이자비용 리스크를 견조한 영업현금흐름과 파생상품을 통해 철저히 통제하고 있습니다.",0.5
